brand,title,date,accords,rating_score,votes,longevity_poor,longevity_weak,longevity_moderate,longevity_long,longevity_very_long,sillage_soft,sillage_moderate,sillage_heavy,sillage_enormous,clslove,clslike,clsdislike,clswinter,clsspring,clssummer,clsautumn,clscold,clshot,clsday,clsnight,clslove_female25under,clslove_male25under,clslove_female25older,clslove_male25older,clslike_female25under,clslike_male25under,clslike_female25older,clslike_male25older,clsdislike_female25under,clsdislike_male25under,clsdislike_female25older,clsdislike_male25older,clswinter_female25under,clswinter_male25under,clswinter_female25older,clswinter_male25older,clsspring_female25under,clsspring_male25under,clsspring_female25older,clsspring_male25older,clssummer_female25under,clssummer_male25under,clssummer_female25older,clssummer_male25older,clsautumn_female25under,clsautumn_male25under,clsautumn_female25older,clsautumn_male25older,clsday_female25under,clsday_male25under,clsday_female25older,clsday_male25older,clsnight_female25under,clsnight_male25under,clsnight_female25older,clsnight_male25older,Ihaveit,Ihadit,Iwantit,notes_1,notes_2,notes_3,notes_4,notes_5,notes_6,notes_7,notes_8,notes_9,notes_10,notes_11,notes_12,notes_13,notes_14,notes_15,notes_16,notes_17,notes_18,notes_19,notes_20,gender
Thera-Cosm-ticos,Malta Thera CosmÃ©ticos for men,2018,"aromatic,fresh spicy,citrus,marine,balsamic",5,1,0,0,1,0,0,0,1,0,0,100,1,1,1,100,1,1,0,0,100,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,0,0,Top1Sea Notes,Middle0Geranium,Middle1Rosemary,Middle2Sage,Base0Patchouli,Base1Incense,,,,,,,,,,,,,,,
Blue-Scents,Mandarin Blue Scents for women and men,2016,"citrus,green,white floral,floral,woody,fresh,Pictures",5,1,0,0,0,0,0,0,0,0,0,100,1,1,1,100,100,1,0,0,100,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,0,0,Top1Tangerine,Top2Green Tea,Middle0Green Tea Flower,Middle1Jasmine,Middle2Peony,Base0Cedar,Base1Musk,,,,,,,,,,,,,,
Henri-Bendel,Mandarin Verbena Henri Bendel for women and men,2000,"citrus,patchouli,warm spicy,herbal,earthy",5,1,0,0,0,0,0,0,0,0,0,100,1,1,1,1,100,1,0,0,100,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,0,0,Top1Orange,Top2Patchouli,Top3Lemon Verbena,Middle0nan,Base0nan,,,,,,,,,,,,,,,,
Neil-Morris,Mariner Neil Morris for women and men,2009,"woody,fresh spicy,aromatic,rose,citrus,musky",4,1,0,0,0,1,0,0,0,1,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Top1Damask Rose,Top2Geranium,Top3White Musk,Top4Cedar,Top5Sandalwood,Middle0nan,Base0nan,,,,,,,,,,,,,,women
MCMC-Fragrances,Talon MCMC Fragrances for women and men,1970,"balsamic,amber,patchouli,rose,smoky",1,1,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Myrrh,Top2Patchouli,Top3Amber,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
MCMC-Fragrances,Moonflower MCMC Fragrances for women,2011,"white floral,animalic,fruity,floral,Pictures",0,1,0,1,0,0,0,0,1,0,0,1,1,1,100,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,0,0,15,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Marc-de-la-Morandiere,MDM White Marc de la Morandiere for men,0,"citrus,warm spicy,fresh spicy,woody,aromatic,leather",1,1,0,1,0,0,0,1,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,Top1Bergamot,Top2Grapefruit,Top3Apple,Top4Lemon,Middle0Cloves,Middle1Cardamom,Middle2Nutmeg,Middle3Sandalwood,Base0Amber,Base1Leather,Base2Musk,,,,,,,,,,
Majan,MD Amber Oud Majan for women and men,2018,"warm spicy,woody,oud,balsamic,leather,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,Top1Agarwood (Oud),Top2Benzoin,Top3Saffron,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
Anya-s-Garden,Strange Magic Anya's Garden for women and men,2017,"yellow floral,white floral,floral,woody,sweet",0,1,1,0,0,0,0,0,0,0,0,1,1,1,100,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,0,0,Top1Orris,Top2Chamomile,Top3Gardenia,Top4Jasmine,Top5Champaca,Top6Ylang-Ylang,Top7Ambergris,Top8White Flowers,Middle0nan,Base0nan,,,,,,,,,,,women
House-of-Orpheus,Verum House of Orpheus for women and men,0,"balsamic,musky,smoky,oud,amber,Pictures",4,1,0,0,1,0,0,0,1,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,Top1Olibanum,Top2Amber,Top3Musk,Top4Natural Musk,Middle0nan,Base0nan,,,,,,,,,,,,,,,women
Alye-Parusa,Memoirs Alye Parusa for women,1980,"amber,rose,musky,animalic,balsamic",5,1,0,0,0,0,1,0,0,1,1,100,1,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Musk,Top2Rose,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,women
Marc-de-la-Morandiere,Melody Marc de la Morandiere for women,0,"powdery,balsamic,floral,vanilla,sweet",5,1,0,0,0,1,1,0,0,1,1,100,1,1,100,1,1,1,0,0,1,100,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,0,0,Top1Bergamot,Top2Ylang-Ylang,Top3Styrax,Top4Incense,Top5Hawthorn,Middle0Jasmine,Middle1Mimosa,Middle2Honey,Middle3Lilac,Middle4Rose,Middle5Sandalwood,Middle6Violet,Middle7Virginian Cedar,Base0Amber,Base1Benzoin,Base2Bourbon Vanilla,Base3Musk,,,,women
Essenzialmente-Laura,Merak Essenzialmente Laura for women and men,0,"vanilla,oud,powdery,sweet,fresh spicy",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,0,0,Top1Vanilla,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,women
Flumen-Profumi,Melodico Stupore Flumen Profumi for women and men,2015,"aromatic,fresh spicy,herbal,woody,amber,green,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,2,Top1Artemisia,Top2Sandalwood,Top3Mint,Top4Amber,Middle0nan,Base0nan,,,,,,,,,,,,,,,women
Radioactive-Mushrooms-in-the-Forest,Mermaid Radioactive Mushrooms in the Forest for women and men,2015,"citrus,fresh spicy,aromatic,floral,fresh,white floral,Pictures",0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Top1Neroli,Top2Lavender,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,women
Jequiti,Merci Jequiti for men,2015,"green,citrus,fresh spicy,aromatic,musky,warm spicy,Pictures",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,3,Top1Mint,Middle0Cardamom,Middle1Nutmeg,Base0Musk,Base1Cedar,,,,,,,,,,,,,,,,
Snoopy-Fragrance,Merry Berry Snoopy Fragrance for women,0,"fruity,tropical,sweet,musky,fresh,green,Pictures",0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,Top1Black Currant,Top2Green Leaves,Middle0Orange,Middle1Mango,Middle2Tropical Fruits,Base0Mango,Base1Apple,Base2Musk,,,,,,,,,,,,,women
Christine-Darvin,Sweet Melody Christine Darvin for women,0,"white floral,sweet,tuberose,yellow floral,fruity,animalic",5,1,0,0,1,0,0,0,1,0,0,100,1,1,100,100,100,100,0,0,100,100,100,1,1,1,1,1,1,1,1,1,1,1,100,100,1,1,100,100,1,1,100,100,1,1,100,100,1,1,100,100,1,1,100,100,1,1,0,1,0,Top1Peach,Top2Pineapple,Middle0Tuberose,Middle1Jasmine,Middle2Ylang-Ylang,Base0Sandalwood,Base1Vanilla,Base2Musk,Base3Amber,,,,,,,,,,,,women
Louis-Varel,Secretly Men Louis Varel for men,0,"citrus,fresh spicy,musky,patchouli,white floral,Pictures",4,1,0,1,0,0,0,0,1,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Top1Lemon,Middle0Jasmine,Middle1Pepper,Base0Patchouli,Base1Musk,,,,,,,,,,,,,,,,
Fleur-de-Sante,Romantic Me Fleur de Sante for women,0,"floral,powdery,woody,fresh,fruity",4,1,0,0,1,0,0,1,0,0,0,1,100,1,1,100,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Top1Pineapple,Top2Violet,Top3Grapefruit,Middle0Peony,Middle1Jasmine,Middle2Lily-of-the-Valley,Base0Cedar,Base1Amber,Base2iris,Base3White Musk,,,,,,,,,,,
Mypa,Madonna Men Mypa for men,0,,1,1,1,0,0,0,0,1,0,0,0,1,1,100,1,1,1,1,0,0,1,1,1,1,1,100,1,1,1,1,1,1,100,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,0,1,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,
Masterpiece,Remember Me Masterpiece for women and men,2018,"sweet,woody,cherry,powdery,balsamic,Pictures",0,1,0,0,0,0,0,0,0,0,2,1,1,1,100,1,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,2,Top1Lavender,Top2Almond,Top3Cherry,Middle0Licorice,Middle1Dark Chocolate,Middle2Heliotrope,Base0Sandalwood,Base1Vanilla,Base2Musk,,,,,,,,,,,,women
Sinfonia-di-Note,Pepe & Menta Sinfonia di Note for women and men,2016,"woody,green,fresh spicy,aromatic,white floral",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,1,Top1Neroli,Top2Mint,Top3Artemisia,Middle0Rose,Middle1Jasmine,Middle2Heliotrope,Base0Palisander Rosewood,Base1Cashmere Wood,Base2Vetiver,,,,,,,,,,,,women
O-Botic-rio,Portinari MemÃ³rias O BoticÃ¡rio for men,2014,"woody,warm spicy,aromatic,fresh spicy,balsamic,Pictures",0,1,0,0,0,1,0,0,1,0,0,1,1,1,100,1,1,100,0,0,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,0,0,2,Top1Bergamot,Middle0Rosemary,Middle1Carnation,Middle2Cinnamon,Middle3Spices,Base0Cedar,Base1Vetiver,Base2Patchouli,Base3Amber,Base4Musk,Base5Sandalowood,,,,,,,,,,
Divage,Touch Me! Divage for women,0,"fresh spicy,green,fresh,aromatic,fruity,herbal",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,0,0,Top1Green Apple,Middle0Tomato Leaf,Middle1Basil,Middle2Lily-of-the-Valley,Base0Rose,Base1Musk,,,,,,,,,,,,,,,women
Music-de-Parfum,MI Music de Parfum for women and men,2016,"white floral,woody,citrus,musky,floral,tuberose,Pictures",5,1,0,0,0,1,0,0,0,1,0,100,1,1,1,1,1,1,0,0,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,Top1Rose,Top2Bitter Orange,Top3Osmanthus,Top4Tuberose,Top5Amber,Top6Cedar,Top7White Musk,Middle0nan,Base0nan,,,,,,,,,,,,women
Cont-m-1g,Minha InspiraÃ§Ã£o ContÃ©m 1g for women,2014,"vanilla,sweet,almond,fruity,nutty,coconut",4,1,0,0,0,0,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Almond,Top2Coconut,Top3Apricot,Middle0Plum,Middle1Jasmine,Middle2Lily-of-the-Valley,Middle3Rose,Middle4Tuberose,Base0Brazilian Rosewood,Base1Sandalowood,Base2Vanilla,,,,,,,,,,women
I-Coloniali,Mirra & Mirra I Coloniali for women and men,1995,,5,1,0,0,0,0,0,0,0,1,0,100,1,1,100,100,100,100,0,0,100,100,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,3,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Ulric-de-Varens,Mini Varens 31 Ulric de Varens for women,2010,"powdery,floral,white floral,woody,yellow floral,tuberose",4,1,0,0,0,0,1,1,0,0,1,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Bergamot,Top2Rose,Top3Violet,Middle0iris,Middle1Jasmine,Middle2Aldehydes,Base0Tuberose,Base1Peach,,,,,,,,,,,,,women
Mickey-and-Friends,Mickey Mouse Mickey and Friends for men,0,"citrus,white floral,musky,fresh spicy,amber,Pictures",5,1,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,Top1Lemon,Top2Green Notes,Middle0Jasmine,Middle1Orange Blossom,Middle2White Flowers,Base0Amber,Base1Vanilla,Base2Musk,,,,,,,,,,,,,
Arabian-Oud,Miss Lol Pink Arabian Oud for women,0,"floral,powdery,fruity,woody,vanilla",4,1,0,0,0,1,0,0,0,1,0,1,100,1,1,1,100,1,0,0,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,2,0,0,Top1Peach,Middle0Violet,Middle1Lilac,Base0Vanilla,Base1Cedar,,,,,,,,,,,,,,,,women
Dans-un-Jardin,Mirabella Dans un Jardin for women,0,"fruity,sweet,coconut,fresh,green,tropical",5,1,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,0,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,Top1Pineapple,Top2Green Notes,Middle0Jasmine,Middle1Mirabella Plum,Middle2Gardenia,Base0Strawberry,Base1Raspberry,Base2Peach,Base3Coconut,,,,,,,,,,,,women
Teatro-Fragranze-Uniche,Mimi' Teatro Fragranze Uniche for women,0,"citrus,powdery,floral,amber,rose,vanilla",5,1,0,0,0,0,0,0,1,0,0,100,1,1,1,1,1,1,0,0,1,1,1,1,1,100,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Top1Rose,Top2Bergamot,Middle0iris,Middle1Neroli,Base0iris,Base1Vanilla,Base2Amber,,,,,,,,,,,,,,women
Angela-Flanders,Mimosa Angela Flanders for women,2001,"powdery,floral,rose,fruity,warm spicy",5,1,0,0,0,0,0,0,0,1,0,100,1,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Violet,Top2Rose,Top3Cloves,Top4Fruity Notes,Middle0nan,Base0nan,,,,,,,,,,,,,,,women
Miriam-Ocariz,Miriam Ocariz Eau de Toilette Miriam Ocariz for women,2012,"musky,white floral,fresh spicy,aromatic,aldehydic,citrus,Pictures",4,1,0,1,0,0,0,0,1,0,0,1,100,1,100,1,1,100,0,0,100,100,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,2,0,0,Top1Aldehydes,Middle0Jasmine,Middle1Geranium,Base0Musk,Base1Patchouli,,,,,,,,,,,,,,,,women
Orali-Perfume,Millefleur Orali Perfume for women,0,"sweet,honey,floral,powdery,vanilla",5,1,0,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,0,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Mimosa,Top2Vanilla,Middle0Green Notes,Middle1Strawberry,Middle2Honey,Base0Benzoin,,,,,,,,,,,,,,,women
Saint-Morits,Millesime 1667 Saint Morits for women and men,1667,"balsamic,smoky,warm spicy,floral,amber,Pictures",5,1,0,0,1,0,0,0,1,0,0,100,1,1,1,100,100,1,0,0,100,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,0,0,Top1Benzoin,Top2Incense,Top3Labdanum,Top4Lily-of-the-Valley,Middle0nan,Base0nan,,,,,,,,,,,,,,,women
Victoria-s-Secret,Midnight Exotics Forbidden Vanilla Victoria's Secret for women,2017,"woody,vanilla,green,aquatic,powdery",5,1,0,0,0,1,0,0,0,1,0,100,1,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,Top1Woody Notes,Top2Black Vanilla Husk,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,women
Victoria-s-Secret,Midnight Exotics Deep Berry Victoria's Secret for women,2017,"woody,fruity,green,herbal,sweet,aquatic",5,1,1,0,0,0,0,0,0,0,0,100,1,1,1,1,1,1,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,Top1Chamomile,Top2Red Berries,Top3Exotic Woods,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
Alkemia-Perfumes,Mistress of Misrule Alkemia Perfumes for women and men,0,"balsamic,floral,fruity,fresh spicy,soft spicy",4,1,0,0,0,1,0,0,0,0,0,1,100,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Opium,Top2Resin,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,women
I-Profumi-di-Firenze,Mimosa Sensitiva I Profumi di Firenze for women and men,0,"green,floral,rose,yellow floral,patchouli,white floral",4,1,0,0,1,0,0,0,1,0,0,1,100,1,100,1,1,100,0,0,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,0,0,Middle0Lily,Middle1Rose,Middle2Lily-of-the-Valley,Middle3Cassis,Middle4Red Fruits,Middle5Ylang-Ylang,Base0Patchouli,Base1White Musk,,,,,,,,,,,,,women
Selcuk-Esans,Misk Pasha Selcuk Esans for women and men,0,"sweet,powdery,vanilla,woody,musky,caramel,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Top1Licorice,Middle0Caramel,Middle1Praline,Base0Musk,Base1Sandalwood,Base2Powdery Notes,,,,,,,,,,,,,,,women
Dofta,Midnight Mood Dofta for women and men,2018,"powdery,woody,warm spicy,white floral,oud,Pictures",0,1,0,0,0,0,0,0,1,0,0,1,1,1,100,1,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,2,Middle0Red Chilli Pepper,Middle1Orange Blossom,Base0Agarwood (Oud),Base1Sandalwood,,,,,,,,,,,,,,,,,women
Pupa,Miss Princess - TÃ© Verde Pupa for women,0,"fresh spicy,aromatic,green,citrus,woody,floral",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Top1Lemon,Top2Nutmeg,Middle0Jasmine,Middle1Lavender,Middle2Green Tea,Middle3Rose,Middle4Violet,Base0Guaiac Wood,Base1Tonka Bean,Base2Mate,Base3Musk,,,,,,,,,,women
Reflexion,Mimosa Reflexion for women and men,0,"powdery,green,floral,yellow floral,sweet",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,0,0,2,Top1Green Notes,Top2Neroli,Top3Powdery Notes,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
Loriblu,Mi Piaci White Loriblu for women,2016,"fruity,woody,floral,powdery,sweet,vanilla,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,1,Top1Raspberry,Top2Passionfruit,Middle0Freesia,Middle1Osmanthus,Middle2Violet,Base0Sandalwood,Base1Vanilla,Base2Cedar,Base3White Musk,,,,,,,,,,,,women
Loriblu,Mi Piaci Black Loriblu for women,2016,"woody,aromatic,musky,herbal,soft spicy,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,1,1,100,0,0,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,0,0,0,Top1Coriander,Top2Pink Pepper,Middle0iris,Middle1Artemisia,Middle2Palisander Rosewood,Base0Patchouli,Base1Vetiver,Base2White Musk,Base3Hinoki Wood,,,,,,,,,,,,women
Frankie-Morello,Milan Frankie Morello for women,2010,"floral,musky,green,woody",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,0,0,1,Top1Woody Notes,Top2Musk,Top3Green Notes,Middle0nan,Base0nan,,,,,,,,,,,,,,,,women
Manzana-Paris,Milliardaire Manzana Paris for women and men,0,"herbal,powdery,woody,balsamic,floral,smoky",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Top1Chamomile,Top2Apricot,Middle0Artemisia,Middle1iris,Middle2Incense,Base0Vanilla,Base1Amber,Base2Cedar,Base3Musk,Base4Leather,,,,,,,,,,,
Alicia-Milor,Mimosa Alicia Milor for women and men,2007,"floral,powdery,yellow floral,sweet,green",0,1,0,0,0,0,0,0,0,0,0,1,1,1,100,100,100,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,1,100,1,1,0,0,0,Middle0nan,Base0nan,,,,,,,,,,,,,,,,,,,women
Tuttotondo,Mirto Tuttotondo for women and men,2016,"aromatic,fresh spicy,herbal,floral,woody,Pictures",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,100,1,100,0,0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,100,0,0,3,Top1Nutmeg,Top2Myrtle,Middle0Geranium,Middle1Sage,Middle2Vetiver,Base0Woody Notes,Base1Amber,Base2Olibanum,Base3White Musk,,,,,,,,,,,,women
Avon,Midnight Avon for women,2007,"white floral,woody,vanilla,patchouli,amber,fresh spicy",0,1,0,0,0,1,1,0,0,1,2,1,1,1,100,100,1,100,0,0,1,100,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,100,1,1,1,1,1,1,100,100,1,1,100,1,1,1,100,100,0,1,0,Top1Guava,Top2Ginger,Middle0Orchid,Middle1Jasmine,Middle2Lily,Base0Woody Notes,Base1Patchouli,Base2Amber,Base3Vanilla,,,,,,,,,,,,women
Queen-B,Midnight Oud Queen B for women and men,0,"oud,rose,patchouli,musky,warm spicy",0,1,0,0,0,0,1,0,0,0,1,1,1,1,100,1,1,1,0,0,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,1,0,0,Top1Black Rose,Top2Patchouli,Top3Caramel,Top4Jasmine,Top5Musk,Middle0nan,Base0nan,,,,,,,,,,,,,,women
